date,store_nbr,family,onpromotion,sales
2017-06-16,15,HOME AND KITCHEN I,0,10.0
2017-06-16,15,HOME AND KITCHEN II,0,12.0
2017-06-16,15,HOME APPLIANCES,0,0.0
2017-06-16,15,HOME CARE,13,185.0
2017-06-16,15,LADIESWEAR,0,11.0
2017-06-16,15,LAWN AND GARDEN,0,0.0
2017-06-16,15,LINGERIE,0,15.0
2017-06-16,15,"LIQUOR,WINE,BEER",2,53.0
2017-06-16,15,MAGAZINES,0,8.0
2017-06-16,15,MEATS,0,86.645004
2017-06-16,15,PERSONAL CARE,8,143.0
2017-06-16,15,PET SUPPLIES,0,0.0
2017-06-16,15,PLAYERS AND ELECTRONICS,0,3.0
2017-06-16,15,POULTRY,15,128.622
2017-06-16,15,PREPARED FOODS,1,72.0
2017-06-16,15,PRODUCE,1,632.75
2017-06-16,15,SCHOOL AND OFFICE SUPPLIES,0,0.0
2017-06-16,15,SEAFOOD,0,15.0
2017-06-16,16,AUTOMOTIVE,0,4.0
2017-06-16,16,BABY CARE,0,0.0
2017-06-16,16,BEAUTY,2,3.0
2017-06-16,16,BEVERAGES,9,1532.0
2017-06-16,16,BOOKS,0,0.0
2017-06-16,16,BREAD/BAKERY,2,94.0
2017-06-16,16,CELEBRATION,0,4.0
2017-06-16,16,CLEANING,22,2336.0
2017-06-16,16,DAIRY,18,194.0
2017-06-16,16,DELI,41,149.0
2017-06-16,16,EGGS,1,125.0
2017-06-16,16,FROZEN FOODS,0,34.509
2017-06-16,16,GROCERY I,56,1547.0
2017-06-16,16,GROCERY II,0,8.0
2017-06-16,16,HARDWARE,0,1.0
2017-06-16,16,HOME AND KITCHEN I,4,32.0
2017-06-16,16,HOME AND KITCHEN II,1,5.0
2017-06-16,16,HOME APPLIANCES,0,0.0
2017-06-16,16,HOME CARE,14,134.0
2017-06-16,16,LADIESWEAR,0,0.0
2017-06-16,16,LAWN AND GARDEN,0,0.0
2017-06-16,16,LINGERIE,0,0.0
2017-06-16,16,"LIQUOR,WINE,BEER",3,54.0
2017-06-16,16,MAGAZINES,0,2.0
2017-06-16,16,MEATS,0,39.408
2017-06-16,16,PERSONAL CARE,9,106.0
2017-06-16,16,PET SUPPLIES,0,0.0
2017-06-16,16,PLAYERS AND ELECTRONICS,0,3.0
2017-06-16,16,POULTRY,13,69.461
2017-06-16,16,PREPARED FOODS,1,21.0
2017-06-16,16,PRODUCE,3,513.888
2017-06-16,16,SCHOOL AND OFFICE SUPPLIES,0,0.0
2017-06-16,16,SEAFOOD,0,0.0
2017-06-16,17,AUTOMOTIVE,0,2.0
2017-06-16,17,BABY CARE,0,0.0
2017-06-16,17,BEAUTY,2,3.0
2017-06-16,17,BEVERAGES,10,2926.0
2017-06-16,17,BOOKS,0,0.0
2017-06-16,17,BREAD/BAKERY,2,237.0
2017-06-16,17,CELEBRATION,0,11.0
2017-06-16,17,CLEANING,24,908.0
2017-06-16,17,DAIRY,26,647.0
2017-06-16,17,DELI,62,488.0
2017-06-16,17,EGGS,3,102.0
2017-06-16,17,FROZEN FOODS,1,114.746
2017-06-16,17,GROCERY I,72,3839.0
2017-06-16,17,GROCERY II,0,24.0
2017-06-16,17,HARDWARE,0,2.0
2017-06-16,17,HOME AND KITCHEN I,3,19.0
2017-06-16,17,HOME AND KITCHEN II,1,18.0
2017-06-16,17,HOME APPLIANCES,0,0.0
2017-06-16,17,HOME CARE,17,218.0
2017-06-16,17,LADIESWEAR,0,0.0
2017-06-16,17,LAWN AND GARDEN,0,0.0
2017-06-16,17,LINGERIE,0,1.0
2017-06-16,17,"LIQUOR,WINE,BEER",4,70.0
2017-06-16,17,MAGAZINES,0,8.0
2017-06-16,17,MEATS,0,182.759
2017-06-16,17,PERSONAL CARE,7,204.0
2017-06-16,17,PET SUPPLIES,0,1.0
2017-06-16,17,PLAYERS AND ELECTRONICS,0,6.0
2017-06-16,17,POULTRY,19,290.415
2017-06-16,17,PREPARED FOODS,1,68.0
2017-06-16,17,PRODUCE,2,1027.486
2017-06-16,17,SCHOOL AND OFFICE SUPPLIES,0,0.0
2017-06-16,17,SEAFOOD,0,4.0
2017-06-16,18,AUTOMOTIVE,0,4.0
2017-06-16,18,BABY CARE,0,0.0
2017-06-16,18,BEAUTY,2,2.0
2017-06-16,18,BEVERAGES,10,1893.0
2017-06-16,18,BOOKS,0,0.0
2017-06-16,18,BREAD/BAKERY,3,498.0
2017-06-16,18,CELEBRATION,0,15.0
2017-06-16,18,CLEANING,25,516.0
2017-06-16,18,DAIRY,33,582.0
2017-06-16,18,DELI,58,227.892
2017-06-16,18,EGGS,2,132.0
2017-06-16,18,FROZEN FOODS,0,54.616
2017-06-16,18,GROCERY I,71,2548.281
2017-06-16,18,GROCERY II,0,8.0
2017-06-16,18,HARDWARE,0,0.0
2017-06-16,18,HOME AND KITCHEN I,5,33.0
2017-06-16,18,HOME AND KITCHEN II,0,9.0
2017-06-16,18,HOME APPLIANCES,0,1.0
2017-06-16,18,HOME CARE,15,151.0
2017-06-16,18,LADIESWEAR,0,3.0
2017-06-16,18,LAWN AND GARDEN,0,2.0
2017-06-16,18,LINGERIE,0,2.0
2017-06-16,18,"LIQUOR,WINE,BEER",5,135.0
2017-06-16,18,MAGAZINES,0,2.0
2017-06-16,18,MEATS,1,77.230995
2017-06-16,18,PERSONAL CARE,11,125.0
2017-06-16,18,PET SUPPLIES,0,5.0
2017-06-16,18,PLAYERS AND ELECTRONICS,0,6.0
2017-06-16,18,POULTRY,21,261.02798
2017-06-16,18,PREPARED FOODS,3,70.054
2017-06-16,18,PRODUCE,3,1384.253
2017-06-16,18,SCHOOL AND OFFICE SUPPLIES,0,1.0
2017-06-16,18,SEAFOOD,0,4.0
2017-06-16,19,AUTOMOTIVE,0,5.0
2017-06-16,19,BABY CARE,0,0.0
2017-06-16,19,BEAUTY,0,0.0
2017-06-16,19,BEVERAGES,8,2051.0
2017-06-16,19,BOOKS,0,0.0
2017-06-16,19,BREAD/BAKERY,2,123.0
2017-06-16,19,CELEBRATION,0,7.0
2017-06-16,19,CLEANING,23,777.0
2017-06-16,19,DAIRY,21,277.0
2017-06-16,19,DELI,48,418.0
2017-06-16,19,EGGS,0,45.0
2017-06-16,19,FROZEN FOODS,0,42.595
2017-06-16,19,GROCERY I,63,3039.0
2017-06-16,19,GROCERY II,0,20.0
2017-06-16,19,HARDWARE,0,1.0
2017-06-16,19,HOME AND KITCHEN I,3,24.0
2017-06-16,19,HOME AND KITCHEN II,0,10.0
2017-06-16,19,HOME APPLIANCES,0,0.0
2017-06-16,19,HOME CARE,14,130.0
2017-06-16,19,LADIESWEAR,0,8.0
2017-06-16,19,LAWN AND GARDEN,0,0.0
2017-06-16,19,LINGERIE,0,7.0
2017-06-16,19,"LIQUOR,WINE,BEER",2,65.0
2017-06-16,19,MAGAZINES,0,3.0
2017-06-16,19,MEATS,0,114.942
2017-06-16,19,PERSONAL CARE,5,150.0
2017-06-16,19,PET SUPPLIES,0,0.0
2017-06-16,19,PLAYERS AND ELECTRONICS,0,0.0
2017-06-16,19,POULTRY,14,92.815
2017-06-16,19,PREPARED FOODS,1,25.0
2017-06-16,19,PRODUCE,1,383.047
2017-06-16,19,SCHOOL AND OFFICE SUPPLIES,0,0.0
2017-06-16,19,SEAFOOD,0,4.0
2017-06-16,2,AUTOMOTIVE,0,4.0
2017-06-16,2,BABY CARE,0,0.0
2017-06-16,2,BEAUTY,2,6.0
2017-06-16,2,BEVERAGES,22,3132.0
2017-06-16,2,BOOKS,0,0.0
2017-06-16,2,BREAD/BAKERY,0,710.0
2017-06-16,2,CELEBRATION,0,18.0
2017-06-16,2,CLEANING,24,966.0
2017-06-16,2,DAIRY,22,921.0
2017-06-16,2,DELI,55,260.055
2017-06-16,2,EGGS,30,190.0
2017-06-16,2,FROZEN FOODS,2,138.234
2017-06-16,2,GROCERY I,67,4619.0
2017-06-16,2,GROCERY II,0,39.0
2017-06-16,2,HARDWARE,0,0.0
2017-06-16,2,HOME AND KITCHEN I,1,30.0
2017-06-16,2,HOME AND KITCHEN II,1,34.0
2017-06-16,2,HOME APPLIANCES,0,0.0
2017-06-16,2,HOME CARE,12,232.0
2017-06-16,2,LADIESWEAR,0,22.0
2017-06-16,2,LAWN AND GARDEN,0,36.0
2017-06-16,2,LINGERIE,0,5.0
2017-06-16,2,"LIQUOR,WINE,BEER",4,146.0
2017-06-16,2,MAGAZINES,0,5.0
2017-06-16,2,MEATS,47,1215.69
2017-06-16,2,PERSONAL CARE,12,238.0
2017-06-16,2,PET SUPPLIES,0,10.0
2017-06-16,2,PLAYERS AND ELECTRONICS,0,9.0
2017-06-16,2,POULTRY,38,667.859
2017-06-16,2,PREPARED FOODS,0,115.193
2017-06-16,2,PRODUCE,3,2643.447
2017-06-16,2,SCHOOL AND OFFICE SUPPLIES,0,0.0
2017-06-16,2,SEAFOOD,6,42.776
2017-06-16,20,AUTOMOTIVE,0,2.0
2017-06-16,20,BABY CARE,0,0.0
2017-06-16,20,BEAUTY,2,2.0
2017-06-16,20,BEVERAGES,14,2751.0
2017-06-16,20,BOOKS,0,0.0
2017-06-16,20,BREAD/BAKERY,2,310.0
2017-06-16,20,CELEBRATION,0,16.0
2017-06-16,20,CLEANING,25,755.0
2017-06-16,20,DAIRY,36,634.0
2017-06-16,20,DELI,73,1166.58
2017-06-16,20,EGGS,2,90.0
2017-06-16,20,FROZEN FOODS,0,74.116
2017-06-16,20,GROCERY I,77,3940.266
2017-06-16,20,GROCERY II,0,36.0
2017-06-16,20,HARDWARE,0,0.0
2017-06-16,20,HOME AND KITCHEN I,2,18.0
2017-06-16,20,HOME AND KITCHEN II,1,11.0
2017-06-16,20,HOME APPLIANCES,0,0.0
2017-06-16,20,HOME CARE,18,268.0
2017-06-16,20,LADIESWEAR,0,10.0
2017-06-16,20,LAWN AND GARDEN,0,11.0
2017-06-16,20,LINGERIE,0,1.0
2017-06-16,20,"LIQUOR,WINE,BEER",4,106.0
2017-06-16,20,MAGAZINES,0,1.0
2017-06-16,20,MEATS,2,204.475
2017-06-16,20,PERSONAL CARE,11,180.0
2017-06-16,20,PET SUPPLIES,0,2.0
2017-06-16,20,PLAYERS AND ELECTRONICS,0,2.0
2017-06-16,20,POULTRY,25,627.783
2017-06-16,20,PREPARED FOODS,2,71.109
2017-06-16,20,PRODUCE,3,729.787
2017-06-16,20,SCHOOL AND OFFICE SUPPLIES,0,0.0
2017-06-16,20,SEAFOOD,0,2.0
2017-06-16,21,AUTOMOTIVE,0,13.0
2017-06-16,21,BABY CARE,0,0.0
2017-06-16,21,BEAUTY,1,2.0
2017-06-16,21,BEVERAGES,12,1627.0
2017-06-16,21,BOOKS,0,0.0
2017-06-16,21,BREAD/BAKERY,5,284.0
2017-06-16,21,CELEBRATION,0,2.0
2017-06-16,21,CLEANING,30,927.0
2017-06-16,21,DAIRY,28,392.0
2017-06-16,21,DELI,53,233.145
2017-06-16,21,EGGS,2,52.0
2017-06-16,21,FROZEN FOODS,0,71.0
2017-06-16,21,GROCERY I,74,2538.235
2017-06-16,21,GROCERY II,0,12.0
2017-06-16,21,HARDWARE,0,0.0
2017-06-16,21,HOME AND KITCHEN I,4,23.0
2017-06-16,21,HOME AND KITCHEN II,0,20.0
2017-06-16,21,HOME APPLIANCES,0,0.0
2017-06-16,21,HOME CARE,16,236.0
2017-06-16,21,LADIESWEAR,0,6.0
2017-06-16,21,LAWN AND GARDEN,0,0.0
2017-06-16,21,LINGERIE,0,7.0
2017-06-16,21,"LIQUOR,WINE,BEER",5,134.0
2017-06-16,21,MAGAZINES,0,0.0
2017-06-16,21,MEATS,0,105.437
2017-06-16,21,PERSONAL CARE,12,218.0
2017-06-16,21,PET SUPPLIES,0,0.0
2017-06-16,21,PLAYERS AND ELECTRONICS,0,3.0
2017-06-16,21,POULTRY,16,131.824
2017-06-16,21,PREPARED FOODS,3,118.736
2017-06-16,21,PRODUCE,4,961.243
2017-06-16,21,SCHOOL AND OFFICE SUPPLIES,0,0.0
2017-06-16,21,SEAFOOD,0,0.0
2017-06-16,22,AUTOMOTIVE,0,5.0
2017-06-16,22,BABY CARE,0,0.0
2017-06-16,22,BEAUTY,2,6.0
2017-06-16,22,BEVERAGES,11,1101.0
2017-06-16,22,BOOKS,0,0.0
2017-06-16,22,BREAD/BAKERY,3,101.0
2017-06-16,22,CELEBRATION,0,8.0
2017-06-16,22,CLEANING,19,383.0
2017-06-16,22,DAIRY,20,244.0
2017-06-16,22,DELI,49,157.0
2017-06-16,22,EGGS,1,31.0
2017-06-16,22,FROZEN FOODS,0,68.0
2017-06-16,22,GROCERY I,62,1874.0
2017-06-16,22,GROCERY II,0,9.0
2017-06-16,22,HARDWARE,0,0.0
2017-06-16,22,HOME AND KITCHEN I,4,46.0
2017-06-16,22,HOME AND KITCHEN II,1,12.0
2017-06-16,22,HOME APPLIANCES,0,0.0
2017-06-16,22,HOME CARE,15,134.0
2017-06-16,22,LADIESWEAR,0,2.0
2017-06-16,22,LAWN AND GARDEN,0,0.0
2017-06-16,22,LINGERIE,0,2.0
2017-06-16,22,"LIQUOR,WINE,BEER",5,71.0
2017-06-16,22,MAGAZINES,0,5.0
2017-06-16,22,MEATS,0,121.898
2017-06-16,22,PERSONAL CARE,4,80.0
2017-06-16,22,PET SUPPLIES,0,1.0
2017-06-16,22,PLAYERS AND ELECTRONICS,0,4.0
2017-06-16,22,POULTRY,16,313.591
2017-06-16,22,PREPARED FOODS,1,22.0
2017-06-16,22,PRODUCE,2,351.657
2017-06-16,22,SCHOOL AND OFFICE SUPPLIES,0,0.0
2017-06-16,22,SEAFOOD,0,2.0
2017-06-16,23,AUTOMOTIVE,0,5.0
2017-06-16,23,BABY CARE,0,0.0
2017-06-16,23,BEAUTY,0,1.0
2017-06-16,23,BEVERAGES,23,1439.0
2017-06-16,23,BOOKS,0,0.0
2017-06-16,23,BREAD/BAKERY,1,235.775
2017-06-16,23,CELEBRATION,0,12.0
2017-06-16,23,CLEANING,18,572.0
2017-06-16,23,DAIRY,21,523.0
2017-06-16,23,DELI,50,138.248
2017-06-16,23,EGGS,21,58.0
2017-06-16,23,FROZEN FOODS,1,143.76399
2017-06-16,23,GROCERY I,44,2613.0
2017-06-16,23,GROCERY II,0,55.0
2017-06-16,23,HARDWARE,0,2.0
2017-06-16,23,HOME AND KITCHEN I,3,8.0
2017-06-16,23,HOME AND KITCHEN II,2,12.0
2017-06-16,23,HOME APPLIANCES,0,1.0
2017-06-16,23,HOME CARE,8,91.0
2017-06-16,23,LADIESWEAR,0,3.0
2017-06-16,23,LAWN AND GARDEN,0,6.0
2017-06-16,23,LINGERIE,0,1.0
2017-06-16,23,"LIQUOR,WINE,BEER",4,102.0
2017-06-16,23,MAGAZINES,0,2.0
2017-06-16,23,MEATS,44,485.165
2017-06-16,23,PERSONAL CARE,8,134.0
2017-06-16,23,PET SUPPLIES,0,6.0
2017-06-16,23,PLAYERS AND ELECTRONICS,0,3.0
2017-06-16,23,POULTRY,34,442.602
2017-06-16,23,PREPARED FOODS,0,46.487
2017-06-16,23,PRODUCE,3,1268.678
2017-06-16,23,SCHOOL AND OFFICE SUPPLIES,0,0.0
2017-06-16,23,SEAFOOD,2,6.0
2017-06-16,24,AUTOMOTIVE,0,2.0
2017-06-16,24,BABY CARE,0,0.0
2017-06-16,24,BEAUTY,1,5.0
2017-06-16,24,BEVERAGES,21,3989.0
2017-06-16,24,BOOKS,0,2.0
2017-06-16,24,BREAD/BAKERY,1,834.185
2017-06-16,24,CELEBRATION,0,28.0
2017-06-16,24,CLEANING,24,1343.0
2017-06-16,24,DAIRY,28,1592.0
2017-06-16,24,DELI,59,326.406
2017-06-16,24,EGGS,28,328.0
2017-06-16,24,FROZEN FOODS,3,344.798
2017-06-16,24,GROCERY I,61,5065.0
2017-06-16,24,GROCERY II,0,33.0
2017-06-16,24,HARDWARE,0,0.0
2017-06-16,24,HOME AND KITCHEN I,2,60.0
2017-06-16,24,HOME AND KITCHEN II,0,21.0
2017-06-16,24,HOME APPLIANCES,0,2.0
2017-06-16,24,HOME CARE,9,274.0
2017-06-16,24,LADIESWEAR,0,5.0
2017-06-16,24,LAWN AND GARDEN,0,77.0
2017-06-16,24,LINGERIE,0,16.0
2017-06-16,24,"LIQUOR,WINE,BEER",5,158.0
2017-06-16,24,MAGAZINES,0,16.0
2017-06-16,24,MEATS,48,792.971
2017-06-16,24,PERSONAL CARE,9,269.0
2017-06-16,24,PET SUPPLIES,0,14.0
2017-06-16,24,PLAYERS AND ELECTRONICS,0,3.0
2017-06-16,24,POULTRY,39,994.499
2017-06-16,24,PREPARED FOODS,0,144.813
2017-06-16,24,PRODUCE,3,4131.405
2017-06-16,24,SCHOOL AND OFFICE SUPPLIES,0,0.0
2017-06-16,24,SEAFOOD,5,28.622
2017-06-16,25,AUTOMOTIVE,0,1.0
2017-06-16,25,BABY CARE,0,0.0
2017-06-16,25,BEAUTY,1,2.0
2017-06-16,25,BEVERAGES,18,2078.0
2017-06-16,25,BOOKS,0,0.0
2017-06-16,25,BREAD/BAKERY,2,234.293
2017-06-16,25,CELEBRATION,0,6.0
2017-06-16,25,CLEANING,19,385.0
2017-06-16,25,DAIRY,25,550.0
2017-06-16,25,DELI,44,124.95
2017-06-16,25,EGGS,22,125.0
2017-06-16,25,FROZEN FOODS,1,125.715
2017-06-16,25,GROCERY I,36,1438.0
2017-06-16,25,GROCERY II,0,26.0
2017-06-16,25,HARDWARE,0,1.0
2017-06-16,25,HOME AND KITCHEN I,1,18.0
2017-06-16,25,HOME AND KITCHEN II,1,14.0
